	Chlorophyll-a	Chlorophyll-b	DV chlorophyll-a	Chlorophyllide-a	Phaeophorbide-a	Phaeophytin-a	Chlorophyll C3	chlorophyll c2
638.0	0.002633346	0.007782425	0.002388228	0.004359062	0.002122807	0.001556995	0.001406523	0.001406523
637.2	0.002607356	0.007191821	0.002444644	0.004261561	0.002080576	0.00148913	0.001529507	0.001529507
636.3	0.002560914	0.006593732	0.002352972	0.004243138	0.002039146	0.001486017	0.00164747	0.00164747
635.5	0.002588392	0.006082268	0.002417873	0.004270087	0.002015036	0.00144127	0.001844734	0.001844734
634.6	0.002551415	0.00547745	0.002421147	0.004269513	0.001980195	0.001416066	0.001931907	0.001931907
633.8	0.002648153	0.005062489	0.002496089	0.004313959	0.001944224	0.001409962	0.002122894	0.002122894
632.9	0.002672645	0.004583445	0.002483425	0.00430566	0.001916742	0.001389129	0.002198188	0.002198188
632.1	0.002716283	0.004214092	0.002599763	0.004386883	0.001897645	0.001352693	0.00239614	0.00239614
631.2	0.002745763	0.003842453	0.00263652	0.004450962	0.001884337	0.001358462	0.002487	0.002487
630.3	0.002868064	0.003565407	0.002756559	0.004594831	0.00188566	0.001346237	0.002654242	0.002654242
629.5	0.002929411	0.003284567	0.002788969	0.004638507	0.001864879	0.001347708	0.002714192	0.002714192
628.6	0.003021372	0.003105895	0.00292841	0.004740801	0.001871971	0.001334425	0.002818942	0.002818942
627.8	0.003071295	0.002868295	0.002977188	0.004828464	0.001873734	0.00135517	0.002835084	0.002835084
626.9	0.003241868	0.002754854	0.00312525	0.004936706	0.001893024	0.001346974	0.002952868	0.002952868
626.1	0.003300042	0.002586336	0.003159341	0.004989767	0.001916827	0.001386514	0.002952339	0.002952339
625.2	0.003403192	0.002489518	0.003290353	0.005084333	0.001958705	0.001400154	0.002942345	0.002942345
624.4	0.003447884	0.002361051	0.003316303	0.00519143	0.001994084	0.001429495	0.002888561	0.002888561
623.5	0.003561605	0.002309306	0.003399753	0.005319119	0.002044851	0.001456212	0.002911833	0.002911833
622.7	0.003609138	0.002226879	0.003421047	0.005387964	0.002091754	0.001492546	0.002818713	0.002818713
621.8	0.003704299	0.002221811	0.003484598	0.005457735	0.002175294	0.001545266	0.002849175	0.002849175
621.0	0.003712228	0.002159362	0.003496715	0.005504997	0.002249671	0.001590965	0.002726408	0.002726408
620.1	0.003763675	0.002149221	0.003506078	0.005574732	0.002339025	0.001651838	0.002730869	0.002730869
619.3	0.003784295	0.002133241	0.00352324	0.005567985	0.002419439	0.001719825	0.002631468	0.002631468
618.4	0.003830765	0.002135212	0.003572884	0.005688333	0.002520244	0.001789076	0.002634979	0.002634979
617.5	0.003816709	0.002138284	0.003492935	0.00568616	0.00260705	0.001847366	0.002550831	0.002550831
616.7	0.003846932	0.002161111	0.003534689	0.005716588	0.00272216	0.001921147	0.002539376	0.002539376
615.8	0.00380813	0.002140564	0.003472667	0.00569378	0.002814474	0.001992191	0.002474101	0.002474101
615.0	0.003788766	0.002129193	0.003456748	0.005763888	0.002918631	0.002069668	0.00249308	0.00249308
614.1	0.003771513	0.002143652	0.003404354	0.005728703	0.003006887	0.002122501	0.002427012	0.002427012
613.3	0.003733446	0.002122419	0.003404939	0.005754491	0.003085266	0.002179928	0.002478682	0.002478682
612.4	0.003693283	0.002148203	0.003318652	0.005712117	0.003144717	0.002250645	0.002417659	0.002417659
611.6	0.00363763	0.002137688	0.003299404	0.005687252	0.003217768	0.002282399	0.002459899	0.002459899
610.7	0.003548853	0.002155906	0.003223587	0.005669517	0.003281301	0.002345849	0.002495564	0.002495564
609.9	0.003511889	0.002150704	0.003172094	0.005601987	0.003311306	0.002373327	0.002565933	0.002565933
609.0	0.003422165	0.002178638	0.00308902	0.005488205	0.003329257	0.002386939	0.002576297	0.002576297
608.2	0.00336221	0.002182604	0.003045931	0.005453377	0.003343203	0.002394476	0.002649445	0.002649445
607.3	0.003271663	0.002234474	0.002908876	0.005377674	0.003328245	0.002405998	0.002718284	0.002718284
